2014-02-28 18:02:49 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_prod1_3_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-02-28 18:02:50 INFO imu.IMU : new aircraft built with id=5
2014-02-28 18:02:50 INFO testData.Sender : starting sending IMU test data...
2014-02-28 18:02:51 WARNING ihm.MainFrame : setSelectedIndex: 3 out of bounds
2014-02-28 18:02:51 INFO ihm.MainFrame : starting calibration of magnetometer...
2014-02-28 18:02:51 INFO imu.IMU : listening raw datas for drone 5...
2014-02-28 18:02:51 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -195.0 -2039.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -195.0 -2039.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 49.0 -203.0 -2044.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 49.0 -203.0 -2044.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 46.0 -197.0 -2045.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -197.0 -2045.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 53.0 -200.0 -2049.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 53.0 -200.0 -2049.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 42.0 -197.0 -2030.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 42.0 -197.0 -2030.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 53.0 -207.0 -2041.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 53.0 -207.0 -2041.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -194.0 -2037.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -194.0 -2037.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 47.0 -206.0 -2036.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 47.0 -206.0 -2036.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 63.0 -203.0 -2048.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 63.0 -203.0 -2048.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 46.0 -201.0 -2045.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -201.0 -2045.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector before 46.0 -194.0 -2034.0
2014-02-28 18:02:52 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -194.0 -2034.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 45.0 -198.0 -2043.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 45.0 -198.0 -2043.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 53.0 -206.0 -2045.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 53.0 -206.0 -2045.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 44.0 -203.0 -2048.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 44.0 -203.0 -2048.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -202.0 -2047.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -202.0 -2047.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 43.0 -195.0 -2049.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 43.0 -195.0 -2049.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 49.0 -194.0 -2043.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 49.0 -194.0 -2043.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -204.0 -2051.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -204.0 -2051.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 49.0 -202.0 -2038.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 49.0 -202.0 -2038.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 46.0 -201.0 -2045.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 46.0 -201.0 -2045.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector before 47.0 -199.0 -2044.0
2014-02-28 18:02:53 INFO filtre.FilterSphere : FilterSphere.add vector after 47.0 -199.0 -2044.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector before 44.0 -205.0 -2043.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector after 44.0 -205.0 -2043.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector before 50.0 -203.0 -2057.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector after 50.0 -203.0 -2057.0
2014-02-28 18:02:54 INFO filtre.FilterSphere : FilterSphere.add vector before 49.0 -202.0 -2038.0
