2014-03-06 09:04:44 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/14_03_04__11_25_31_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-03-06 09:04:45 INFO imu.IMU : new aircraft built with id=5
2014-03-06 09:04:45 INFO testData.Sender : starting sending IMU test data...
2014-03-06 09:05:50 INFO ihm.MainFrame : starting calibration of accelerometer...
2014-03-06 09:05:50 INFO imu.IMU : listening raw datas for drone 5...
2014-03-06 09:05:50 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:07 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:27 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:28 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:28 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:29 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:54 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:55 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:55 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:56 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:57 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:57 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:57 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:57 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:57 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:57 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:58 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:58 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:58 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:07:58 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:08:36 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:08:37 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:08:37 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:08:37 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:08:37 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:08:39 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:09:26 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:03 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:03 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:05 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:05 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:06 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:54 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:55 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:56 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:57 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:57 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:10:58 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:11:26 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:12:51 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:23:10 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:25:36 INFO ellipsoide.Sphere : Sphere.update : values have changed
2014-03-06 09:36:21 INFO testData.Sender : stopped sending IMU test data
